Company Name,Category,Subcategory,Phone,Email,Address,Website,Instagram,Facebook,Twitter,LinkedIn,Rating
Caspian Development Group Corp,Construction & Renovations,Bathroom renovation,,,,https://www.instagram.com/caspiandevelopmentgroupcorp/?hl=en,,,,,98%
Century Bathtub Reglazing,Construction & Renovations,Bathroom renovation,4169304351,centurybathtubs@gmail.com,,https://www.centurybathtubs.ca/,,,,,92%
Brite Pro Construction,Construction & Renovations,Bathroom renovation,,,,,,,,,
Home Improvement People Inc.,Construction & Renovations,Bathroom renovation,4167827605,hello@homeimprovementpeople.com,,http://www.homeimprovementpeople.com/,http://www.instagram.com/homeimprovementpeople,,,,98%
Sky Kitchens,Construction & Renovations,Bathroom renovation,9056783434,info@skykitchen.ca,,http://www.skykitchen.ca/,,https://www.facebook.com/Sky-Kitchen-Cabinets-Ltd-503515696370734/,,,96%
Hotwire Power Group,Construction & Renovations,Bathroom renovation,5617173345,info@hotwire-electric.com,,https://www.hotwire-electric.com/,,,,,97%
P & P General Contractors Inc.,Construction & Renovations,Bathroom renovation,9052304331,contact@ppgeneralcontractorsinc.com,,http://www.ppgeneralcontractorsinc.com/,,,,,97%
Remodel Construction Company,Construction & Renovations,Bathroom renovation,4167574107,chris@remodelconstruction.ca,,https://www.remodelconstruction.ca/,,,,,99%
310RENO Design & Renovation,Construction & Renovations,Bathroom renovation,9052736682,info@310reno.com,,https://www.310reno.ca/,,,,,96%
Purple Properties Inc. - Luxury Interiors & Exteriors,Construction & Renovations,Bathroom renovation,,,,https://www.purpleproperties.ca/,,,,,99%
Rockstella Stonery Inc.,Construction & Renovations,Bathroom renovation,9056671376,info@rockstella.ca,,https://www.rockstella.ca/,https://www.instagram.com/rockstella_stonery/,https://www.facebook.com/rockstella.ca,,,98%
The Home Improvement Group - THIG,Construction & Renovations,Bathroom renovation,9055020204,sales@thig.pro,,https://www.thig.pro/,https://www.instagram.com/thehomeimprovementgrouptoronto/,https://www.facebook.com/The-Home-Improvement-Group-of-the-Greater-Toronto-Area-341706206165201/,,,93%
NPC Building and Renovations Limited,Construction & Renovations,Bathroom renovation,6474072602,npc@npcrenovations.com,,https://www.npcrenovations.com/,https://www.instagram.com/npcbuilding/,https://www.facebook.com/npcrenovations/,,,99%
BreezeCome,Construction & Renovations,Bathroom renovation,8883080066,admin@breezecome.com,,https://breezecome.com/,,,,,93%
DRF Construction,Construction & Renovations,Bathroom renovation,,,,,,,,,
Shine Handyman,Construction & Renovations,Bathroom renovation,6474461088,inquiry@shinehandyman.ca,,https://shinehandyman.ca/,,,,,98%
Oborne Contracting Inc.,Construction & Renovations,Bathroom renovation,9058892841,info@obornecontracting.com,,https://obornecontracting.ca/,,,,,96%
renoWOW!,Construction & Renovations,Bathroom renovation,8663521251,,,http://www.renowow.ca/,,,,,98%
Quality Restorations and Renovations,Construction & Renovations,Bathroom renovation,4164233465,,,https://www.qualityrestorations.ca/,https://www.instagram.com/qualityrestorations.inc/,https://www.facebook.com/QualityRestorationsCo,,,97%
"Mr. Handyman of Toronto N, Richmond Hill, Markham W.",Construction & Renovations,Bathroom renovation,4168008763,torontonorth@mrhandyman.com,,https://www.mrhandyman.ca/toronto-north-richmond-hill-markham-west/,https://www.instagram.com/mrhandymantorontonorth/,https://facebook.com/mrhandymanofrh/,,,92%
Lampert Renovations,Construction & Renovations,Bathroom renovation,4167874925,info@lampertrenovations.ca,,http://www.lampertrenovations.ca/,,,,,92%
North 5 Contracting INC,Construction & Renovations,Bathroom renovation,6476718084,info@north5contracting.ca,,https://north5contracting.ca/,https://www.instagram.com/north_5_contracting/?hl=en,https://m.facebook.com/N5CGeneralContractor,,,99%
Costa Caulking,Construction & Renovations,Bathroom renovation,4168988611,info@costacaulking.com,,https://costacaulking.com/,,,,,92%
The Renovators of Canada,Construction & Renovations,Bathroom renovation,9055547000,info@trocanada.com,,https://www.trocanada.com/,,,,,92%
Jescore Renovations Inc.,Construction & Renovations,Bathroom renovation,9054312299,jescorerenovations@gmail.com,,https://www.jescorerenovations.com/,,,,,98%
Jbg Tile And Contracting,Construction & Renovations,Bathroom renovation,4169995261,,,https://jbgtile.com/,,,,,96%
Crucial Construction,Construction & Renovations,Demolition,4168873872,info@crucialconstruction.com,,https://www.crucialconstruction.com/,https://instagram.com/crucialconstruction?igshid=MzRlODBiNWFlZA==,,,,94%
CNS Custom Home Ltd,Construction & Renovations,Demolition,9999999999,,,https://cnscustomhome.com/,https://www.instagram.com/cnscustomhome/,https://www.facebook.com/cnscustomhome,,,85%
Goodridge Contracting,Construction & Renovations,Demolition,6478921430,goodridge.contracting@gmail.com,,https://www.goodridgecontracting.ca/,https://www.instagram.com/goodridge.contracting,,,,97%
Canada's Restoration Services,Construction & Renovations,Demolition,4166450911,info@canadarestorationservices.com,,https://canadarestorationservices.com/,https://www.instagram.com/canadarestorationservices,https://www.homestars.com/companies/www.facebook.com/canadarestorationservices,,,96%
The Home Improvement Group - THIG,Construction & Renovations,Demolition,9055020204,sales@thig.pro,,https://www.thig.pro/,https://www.instagram.com/thehomeimprovementgrouptoronto/,https://www.facebook.com/The-Home-Improvement-Group-of-the-Greater-Toronto-Area-341706206165201/,,,93%
Mold.Ca,Construction & Renovations,Demolition,6477765509,info@mold.ca,,http://www.mold.ca/,,,,,97%
GT Abatement Inc,Construction & Renovations,Demolition,2898940240,info@gtabate.ca,,http://www.gtabatement.com/,,,,,98%
Big Ben's Junk Removal,Construction & Renovations,Demolition,4164620585,bbjunkremoval@yahoo.ca,,http://www.bigbensjunkremoval.com/,,,,,97%
Restoranation Inc,Construction & Renovations,Demolition,8887260506,hello@restoranation.com,,https://restoranation.com/,,,,,99%
The Renovators of Canada,Construction & Renovations,Demolition,9055547000,info@trocanada.com,,https://www.trocanada.com/,,,,,92%
Jescore Renovations Inc.,Construction & Renovations,Demolition,9054312299,jescorerenovations@gmail.com,,https://www.jescorerenovations.com/,,,,,98%
We Haul Demolition and Disposal Services,Construction & Renovations,Demolition,8883059204,info@we-haul.ca,,https://www.we-haul.ca/,https://www.instagram.com/we_haul_disposal_services/,https://www.facebook.com/wehauldisposal,,,96%
RenoDuck - Basement Renovation & Finishing,Construction & Renovations,Demolition,6475594495,support@renoduck.com,,https://www.renoduck.com/,https://www.instagram.com/renoduck_basements/,https://www.facebook.com/RenoDuckBasements/,,,98%
Domilya Group Construction Inc.,Construction & Renovations,Kitchen planning & renovation,9053664592,appointments@domilyagroup.ca,,https://www.domilyagroup.ca/?utm_source=Homestars&utm_medium=Homestars,https://www.instagram.com/domilyagroup/?hl=en,https://www.facebook.com/domilyaGroupInc/,,,98%
RenoDuck - Basement Renovation & Finishing,Construction & Renovations,Kitchen planning & renovation,6475594495,support@renoduck.com,,https://www.renoduck.com/,https://www.instagram.com/renoduck_basements/,https://www.facebook.com/RenoDuckBasements/,,,98%
TheRenoBros,Construction & Renovations,Kitchen planning & renovation,4164574097,vinnie.trb@gmail.com,,https://vinnietrb.wixsite.com/pros,https://www.instagram.com/TheRenoBros/,,,,98%
Home Improvement People Inc.,Construction & Renovations,Kitchen planning & renovation,4167827605,hello@homeimprovementpeople.com,,http://www.homeimprovementpeople.com/,http://www.instagram.com/homeimprovementpeople,,,,98%
Sky Kitchens,Construction & Renovations,Kitchen planning & renovation,9056783434,info@skykitchen.ca,,http://www.skykitchen.ca/,,https://www.facebook.com/Sky-Kitchen-Cabinets-Ltd-503515696370734/,,,96%
P & P General Contractors Inc.,Construction & Renovations,Kitchen planning & renovation,9052304331,contact@ppgeneralcontractorsinc.com,,http://www.ppgeneralcontractorsinc.com/,,,,,97%
KitchensRus,Construction & Renovations,Kitchen planning & renovation,9054662899,kitchensrus.info@gmail.com,,https://kitchensrus.com/,https://www.instagram.com/kitchensrus_ontario/,https://www.facebook.com/KitchensRusOntario/,,,99%
Remodel Construction Company,Construction & Renovations,Kitchen planning & renovation,4167574107,chris@remodelconstruction.ca,,https://www.remodelconstruction.ca/,,,,,99%
Purple Properties Inc. - Luxury Interiors & Exteriors,Construction & Renovations,Kitchen planning & renovation,,,,https://www.purpleproperties.ca/,,,,,99%
Rockstella Stonery Inc.,Construction & Renovations,Kitchen planning & renovation,9056671376,info@rockstella.ca,,https://www.rockstella.ca/,https://www.instagram.com/rockstella_stonery/,https://www.facebook.com/rockstella.ca,,,98%
Kitchen & Bath Inc,Construction & Renovations,Kitchen planning & renovation,6476993778,amir@kitchenandbath.ca,,https://kitchenandbath.ca/,,https://www.facebook.com/KitchenandBathInc,,,92%
The Home Improvement Group - THIG,Construction & Renovations,Kitchen planning & renovation,9055020204,sales@thig.pro,,https://www.thig.pro/,https://www.instagram.com/thehomeimprovementgrouptoronto/,https://www.facebook.com/The-Home-Improvement-Group-of-the-Greater-Toronto-Area-341706206165201/,,,93%
Canlik Kitchens,Construction & Renovations,Kitchen planning & renovation,4164127828,info@refaceyourkitchen.com,,http://www.refaceyourkitchen.com/,,,,,96%
Start Renovation,Construction & Renovations,Kitchen planning & renovation,4372458585,startreno1@gmail.com,,https://startrenovation.ca/,https://instagram.com/start_renovation,,,,99%
RenoDuck Kitchen Renovation & Finishing,Construction & Renovations,Kitchen planning & renovation,6475591671,support@renoduckkitchens.com,,https://www.renoduckkitchens.com/,https://www.instagram.com/renoduckhomes/,https://www.facebook.com/renoduckhomes/,,,98%
Nd Contracting,Construction & Renovations,Kitchen planning & renovation,4168781014,info@ndcontracting.ca,,https://ndcontracting.ca/,https://www.instagram.com/NDcontracting/,,,,89%
TS Kitchen,Construction & Renovations,Kitchen planning & renovation,4168981142,1_2_request_reviews@2x.png,,https://www.houzz.com/pro/traian-stanciu/ts-kitchen-projects,,,,,99%
Easy Renovation,Construction & Renovations,Kitchen planning & renovation,6476609415,sales@easyrenovation.ca,,https://easyrenovation.ca/condo-renovation-toronto/,,,,,95%
Oborne Contracting Inc.,Construction & Renovations,Kitchen planning & renovation,9058892841,info@obornecontracting.com,,https://obornecontracting.ca/,,,,,96%
New Kitchen Toronto,Construction & Renovations,Kitchen planning & renovation,4166176358,contact@newkitchentoronto.ca,,http://www.newkitchentoronto.ca/,,,,,98%
renoWOW!,Construction & Renovations,Kitchen planning & renovation,8663521251,,,http://www.renowow.ca/,,,,,98%
North 5 Contracting INC,Construction & Renovations,Kitchen planning & renovation,6476718084,info@north5contracting.ca,,https://north5contracting.ca/,https://www.instagram.com/north_5_contracting/?hl=en,https://m.facebook.com/N5CGeneralContractor,,,99%
K Wood Kitchens and Bath,Construction & Renovations,Kitchen planning & renovation,4163320381,info@kwoodkitchens.com,,https://kwoodkitchens.com/,,https://www.facebook.com/kwoodkitchens,,,98%
